# step cv h sig
0 -1.483269 0.239006 0.0500
100 -1.478126 0.223637 0.0500
200 -1.467969 0.210921 0.0500
300 -1.454277 0.201828 0.0500
400 -1.433709 0.199336 0.0500
500 -1.417671 0.197648 0.0500
600 -1.414430 0.188978 0.0500
700 -1.424654 0.173895 0.0500
800 -1.442673 0.160581 0.0500
900 -1.468251 0.157406 0.0500
1000 -1.498649 0.170699 0.0500
1100 -1.525238 0.187811 0.0500
1200 -1.545172 0.196702 0.0500
1300 -1.547238 0.187917 0.0500
1400 -1.528764 0.164047 0.0500
1500 -1.496785 0.139024 0.0500
1600 -1.456243 0.130951 0.0500
1700 -1.414994 0.150845 0.0500
1800 -1.374244 0.187566 0.0500
1900 -1.343803 0.206959 0.0500
2000 -1.333229 0.203104 0.0500
2100 -1.340144 0.187268 0.0500
2200 -1.363220 0.163160 0.0500
2300 -1.390148 0.140702 0.0500
2400 -1.416784 0.123570 0.0500
2500 -1.443095 0.113732 0.0500
2600 -1.460698 0.110826 0.0500
2700 -1.466435 0.108494 0.0500
2800 -1.466686 0.105307 0.0500
2900 -1.466983 0.102316 0.0500
3000 -1.457448 0.098142 0.0500
3100 -1.441653 0.096568 0.0500
3200 -1.419987 0.101511 0.0500
3300 -1.395060 0.114162 0.0500
3400 -1.366004 0.134265 0.0500
3500 -1.332164 0.161210 0.0500
3600 -1.309674 0.176684 0.0500
3700 -1.302074 0.175651 0.0500
3800 -1.315998 0.154592 0.0500
3900 -1.339992 0.130600 0.0500
4000 -1.369390 0.110656 0.0500
4100 -1.398931 0.095541 0.0500
4200 -1.420060 0.087126 0.0500
4300 -1.430397 0.083481 0.0500
4400 -1.432444 0.081385 0.0500
4500 -1.424763 0.080435 0.0500
4600 -1.412358 0.081382 0.0500
4700 -1.393051 0.086499 0.0500
4800 -1.370280 0.095803 0.0500
4900 -1.354712 0.102755 0.0500
5000 -1.343203 0.107904 0.0500
5100 -1.337265 0.109247 0.0500
5200 -1.334082 0.108495 0.0500
5300 -1.340162 0.100687 0.0500
5400 -1.348693 0.092475 0.0500
5500 -1.368400 0.081082 0.0500
5600 -1.394314 0.072514 0.0500
5700 -1.423741 0.068910 0.0500
5800 -1.451115 0.072377 0.0500
5900 -1.470678 0.079715 0.0500
6000 -1.481674 0.085071 0.0500
6100 -1.490460 0.089848 0.0500
6200 -1.508051 0.104080 0.0500
6300 -1.525924 0.121200 0.0500
6400 -1.534120 0.127095 0.0500
6500 -1.525324 0.112455 0.0500
6600 -1.519856 0.103248 0.0500
6700 -1.517147 0.097690 0.0500
6800 -1.515166 0.093258 0.0500
6900 -1.508272 0.085192 0.0500
7000 -1.502494 0.079077 0.0500
7100 -1.502597 0.077416 0.0500
7200 -1.502739 0.075850 0.0500
7300 -1.512235 0.080960 0.0500
7400 -1.526702 0.092037 0.0500
7500 -1.547036 0.113608 0.0500
7600 -1.566083 0.137431 0.0500
7700 -1.575666 0.146750 0.0500
7800 -1.561787 0.121102 0.0500
7900 -1.539597 0.091606 0.0500
8000 -1.517072 0.072052 0.0500
8100 -1.500787 0.062934 0.0500
8200 -1.483722 0.057228 0.0500
8300 -1.470858 0.054728 0.0500
8400 -1.458572 0.053645 0.0500
8500 -1.443528 0.053983 0.0500
8600 -1.438595 0.053846 0.0500
8700 -1.440868 0.052720 0.0500
8800 -1.438374 0.052299 0.0500
8900 -1.432065 0.052586 0.0500
9000 -1.421160 0.054151 0.0500
9100 -1.409320 0.056550 0.0500
9200 -1.396100 0.059994 0.0500
9300 -1.382534 0.064237 0.0500
9400 -1.368052 0.069758 0.0500
9500 -1.353632 0.076590 0.0500
9600 -1.339739 0.084900 0.0500
9700 -1.329769 0.091578 0.0500
9800 -1.321664 0.097349 0.0500
9900 -1.307439 0.111380 0.0500
10000 -1.288025 0.135280 0.0500
10100 -1.275027 0.150040 0.0500
10200 -1.272589 0.147514 0.0500
10300 -1.276580 0.135868 0.0500
10400 -1.277522 0.129526 0.0500
10500 -1.284195 0.116465 0.0500
10600 -1.289885 0.106199 0.0500
10700 -1.287091 0.106157 0.0500
10800 -1.281400 0.109482 0.0500
10900 -1.276058 0.112486 0.0500
11000 -1.269270 0.117389 0.0500
11100 -1.259344 0.126647 0.0500
11200 -1.248410 0.137493 0.0500
11300 -1.239772 0.144651 0.0500
11400 -1.229628 0.153371 0.0500
11500 -1.220722 0.159294 0.0500
11600 -1.219802 0.153578 0.0500
11700 -1.229445 0.135056 0.0500
11800 -1.240523 0.117568 0.0500
11900 -1.246647 0.107641 0.0500
12000 -1.240169 0.110778 0.0500
12100 -1.222517 0.126914 0.0500
12200 -1.202108 0.148632 0.0500
12300 -1.193053 0.154634 0.0500
12400 -1.198957 0.140564 0.0500
12500 -1.210574 0.121813 0.0500
12600 -1.211516 0.116754 0.0500
12700 -1.203181 0.121837 0.0500
12800 -1.193032 0.129426 0.0500
12900 -1.193301 0.124513 0.0500
13000 -1.193759 0.119737 0.0500
13100 -1.200545 0.108801 0.0500
13200 -1.202647 0.103591 0.0500
13300 -1.198506 0.104447 0.0500
13400 -1.184055 0.116842 0.0500
13500 -1.156415 0.150888 0.0500
13600 -1.122488 0.192622 0.0500
13700 -1.097850 0.207467 0.0500
13800 -1.094883 0.198057 0.0500
13900 -1.109460 0.176393 0.0500
14000 -1.128690 0.152457 0.0500
14100 -1.140406 0.136331 0.0500
14200 -1.161043 0.114415 0.0500
14300 -1.184058 0.094461 0.0500
14400 -1.200178 0.083356 0.0500
14500 -1.203482 0.080015 0.0500
14600 -1.201505 0.079065 0.0500
14700 -1.198690 0.078552 0.0500
14800 -1.198166 0.077077 0.0500
14900 -1.200328 0.074522 0.0500
15000 -1.203559 0.071757 0.0500
15100 -1.203598 0.070319 0.0500
15200 -1.199188 0.070600 0.0500
15300 -1.185004 0.076214 0.0500
15400 -1.164363 0.089480 0.0500
15500 -1.149937 0.100383 0.0500
15600 -1.134527 0.113193 0.0500
15700 -1.121791 0.123234 0.0500
15800 -1.116906 0.124305 0.0500
15900 -1.119700 0.117153 0.0500
16000 -1.120391 0.112691 0.0500
16100 -1.126481 0.103515 0.0500
16200 -1.123723 0.103025 0.0500
16300 -1.119027 0.104362 0.0500
16400 -1.114558 0.105538 0.0500
16500 -1.106641 0.110299 0.0500
16600 -1.101638 0.112198 0.0500
16700 -1.098084 0.112574 0.0500
16800 -1.102366 0.104639 0.0500
16900 -1.109278 0.095289 0.0500
17000 -1.109132 0.092906 0.0500
17100 -1.104294 0.094685 0.0500
17200 -1.098903 0.097230 0.0500
17300 -1.095769 0.097719 0.0500
17400 -1.093332 0.097566 0.0500
17500 -1.086202 0.102725 0.0500
17600 -1.070900 0.119662 0.0500
17700 -1.048478 0.150625 0.0500
17800 -1.025309 0.180376 0.0500
17900 -1.012214 0.188456 0.0500
18000 -1.020167 0.169390 0.0500
18100 -1.054315 0.120332 0.0500
18200 -1.101492 0.075961 0.0500
18300 -1.155379 0.060360 0.0500
18400 -1.205432 0.056373 0.0500
18500 -1.246282 0.059308 0.0500
18600 -1.278847 0.061993 0.0500
18700 -1.296563 0.061443 0.0500
18800 -1.285987 0.060254 0.0500
18900 -1.250899 0.056692 0.0500
19000 -1.208443 0.053458 0.0500
19100 -1.167489 0.056142 0.0500
19200 -1.133758 0.061003 0.0500
19300 -1.112814 0.066469 0.0500
19400 -1.101050 0.070855 0.0500
19500 -1.083313 0.081508 0.0500
19600 -1.051954 0.112057 0.0500
19700 -1.015926 0.154816 0.0500
19800 -0.995441 0.172973 0.0500
19900 -0.992788 0.167733 0.0500
20000 -1.008561 0.143578 0.0500
20100 -1.034889 0.112638 0.0500
20200 -1.061866 0.086658 0.0500
20300 -1.079466 0.072978 0.0500
20400 -1.090179 0.066062 0.0500
20500 -1.091769 0.064162 0.0500
20600 -1.081031 0.068157 0.0500
20700 -1.054575 0.084689 0.0500
20800 -1.019603 0.115279 0.0500
20900 -0.987985 0.147447 0.0500
21000 -0.963452 0.171513 0.0500
21100 -0.952316 0.176540 0.0500
21200 -0.961927 0.157463 0.0500
21300 -0.987044 0.126418 0.0500
21400 -1.021419 0.096779 0.0500
21500 -1.054864 0.074588 0.0500
21600 -1.077860 0.062434 0.0500
21700 -1.091100 0.056996 0.0500
21800 -1.091250 0.056055 0.0500
21900 -1.082349 0.057890 0.0500
22000 -1.052402 0.070567 0.0500
22100 -0.999154 0.105590 0.0500
22200 -0.943576 0.161665 0.0500
22300 -0.900457 0.203156 0.0500
22400 -0.893528 0.197927 0.0500
22500 -0.922941 0.162392 0.0500
